"Module_RTclust","mz","time","TestSignal_plasma_09202017_50RP_014_NEG_matrix_1","TestSignal_plasma_09202017_50RP_015_NEG_matrix_2","TestSignal_plasma_09202017_50RP_016_NEG_matrix_3","TestSignal_plasma_09202017_50RP_017_NEG_NIST_1","TestSignal_plasma_09202017_50RP_018_NEG_NIST_2","TestSignal_plasma_09202017_50RP_019_NEG_NIST_3"
"2_29",525.08504,446.1,6802.4,6713.7,7160.4,5000.8,4156.6,5260.2
"2_29",577.10003,446.2,6809.4,6434.8,5648.1,5532.2,4318.8,5887.1
"2_29",396.1455,446.7,12948.6,11837.1,11686.6,8780.8,6212.4,5683.2
"2_29",379.15569,446.8,132101.5,131432.8,125798.8,118171.8,106986.8,109179.3
"2_29",380.15908,446.8,26282,26090.1,25078.5,21577.9,21697.8,25868.7
"2_29",447.14307,446.8,30212.2,33761.9,28040.5,26533.6,24155.3,22077.6
"2_29",515.13033,446.8,16824.2,19499.6,19354.2,13042.3,14488.6,15529.1
"2_29",311.22217,450.9,3220855.5,3326603.1,3041991.7,226250.2,237589.7,220467.7
"2_29",312.22582,451,272038.5,296763.7,281169.4,46647.2,48519.5,45700.8
"2_29",379.2445,455.8,110231.8,112468.1,108070.3,22385.6,25124.3,24011.7
"2_29",680.9558,455.8,10784.6,9883.5,11051.2,8642.7,8592.6,8082.3
"2_29",459.25029,466,9549.2,9698.7,9731.4,7258.4,6972.4,6833.1
"2_29",394.17478,468,37251.8,43446.8,35605.7,8495.8,8866.1,7639
"2_29",461.15854,468,42544.7,47292.5,36389.7,9711.9,9416.4,9958.3
"2_29",523.12877,468,8800.1,6736.4,6261.4,2516.7,2294.9,2658.3
"2_29",529.14586,468,25066.4,30810,28373.6,3188,3354.2,3519.8
"2_29",597.13282,468,14796.2,17824,14374,6511.7,5230.8,6331.8
"2_29",665.12047,468,9291.2,9111.7,7354.4,3399.7,3986,3170.4
"2_29",673.35743,468,3053.8,3182.1,2328.9,616.9,423.9,431
"2_29",325.18425,468.4,4238914.5,4393097.6,4061808.3,3223468.1,3518221.4,3189551.4
"2_29",326.18737,468.4,894708.8,1031238.2,860082.6,668033.6,751625.9,672028.9
"2_29",327.18449,468.4,224509.5,242653.8,210874.6,170680,187812.3,163335.9
"2_29",328.18524,468.4,35466.6,42134.1,33055.5,29386.9,28305.6,29625.1
"2_29",410.16077,468.6,12853.7,14269.9,13315.3,3706,2924.5,2930.8
"2_29",455.14081,468.6,12518,9495,10495.5,4388,3796.4,4028.8
"2_29",471.11372,468.6,10457,10782.7,9080,4242.8,3795.9,3910.4
"2_29",393.1711,469.6,156473.7,159573.2,159283.7,35520.3,36735.2,34870
"2_29",313.23787,472.6,188295.6,196608.4,178665.4,73282.1,71173.6,66560.7
"2_29",666.88035,484.4,9260.2,9764.7,8255,7909.3,7430.3,8939.2
"2_29",311.20122,495.9,210033.4,207906,191257.5,151036.3,150694.7,145455.3
"2_29",312.20446,495.9,42384.6,42633.5,41615.2,33095.9,33037.7,31632.1
"2_29",456.12329,495.9,5099.7,6068.2,4478,2870.5,3157.1,3725.6
"2_29",446.09449,496.3,11734.6,12484,10882.6,3548.2,3531.4,3678.6
"2_29",438.06256,496.5,2639.4,1845.2,2156.9,812.6,1168.2,836.2
"2_31",401.23267,522.6,10223.2,8741.8,9417.7,7834.4,7886.3,7155.3
"2_32",651.10328,545,9123.5,9180,12479.2,7943.8,9864.8,9934.8
"2_34",325.23715,571.7,123863.5,124164,116780.7,12301,13003.2,11074.2
"2_34",726.12414,582,6334.5,5162.4,6133.9,3892.2,3746,5796.9
"2_34",909.75201,588.1,4364.2,4685.5,4361,3964.1,3803.2,3498.1
"2_42",178.97745,679,693463,682849.1,641236.9,519142,556601.1,548576.2
"2_43",771.59324,700.2,52601.4,57324.9,49639.4,7298.2,7080.8,6403.6
"2_43",489.28257,700.8,371080,297902.3,253510.8,118472.7,118514.6,116160.5
"2_43",772.59588,700.8,27212.3,25251.6,26192.9,4272.4,3054.6,3304.5
"2_44",509.3755,722.7,7092.1,6758,5847.4,1906.3,2260.3,2373.2
"2_44",510.379,722.7,2894.1,1747.9,3135.2,740.8,734.8,512.5
"2_44",519.40436,722.7,22583.9,21678.6,19209.8,16459.4,15766.5,16022.6
"2_59",202.85833,883.9,1202368.9,860153.1,1158522.3,524503.7,751956.2,792980
"2_63",635.88808,939.1,57031.3,54046.3,61938.1,53552,56590.1,50555.7
"2_63",946.81432,939.7,13668,13178.5,13497.4,8931.7,9218.3,11166.8
"2_63",804.81565,941.5,98543.1,88244.2,97646.5,89354.9,89880.6,93257.1
"2_63",467.87656,942.7,17498.4,14431.1,15450.3,11972.6,13016,14363.6
"2_63",613.81113,945.2,13462.1,10718.7,15009.7,10641.9,13100.9,11546.7
"2_63",896.71453,945.2,13191.6,12352.4,12269.6,10363.1,10131.9,11798.2
"2_63",148.91874,945.8,227373.1,172510.1,234103.2,171810.2,175980.6,201533.8
"2_63",193.93162,945.8,21738.2,19380.9,22667.1,19667.2,20821.9,20227.6
"2_63",237.08041,945.8,79626.8,78485.2,56999.8,57426.3,51819.6,66931.4
"2_63",300.86305,945.8,27709.4,31926.1,27096.3,12168.1,12758.5,11531.7
"2_63",209.91908,946.4,14656.8,12651.6,11841.8,8097.6,9400.6,10930
"2_63",309.90335,946.4,24443,16389.6,28162.5,12094.9,14046.7,15091.5
"2_63",342.94149,946.4,409822.9,407271.8,406115.6,91046.3,97747.4,87900.6
"2_63",351.86665,946.4,45848.4,46210.7,43959.6,30876.2,27107.9,38329.7
"2_63",114.9899,947,188207.4,211669.1,218461.7,146097.1,149777.4,145049.5
"2_63",473.83578,947,43522.7,47181.1,45343.6,35812.4,39285.6,43040.7
"2_63",590.81331,947,39926.3,39471.4,42724.8,36540.5,40129.8,37556.4
"2_63",691.75141,947,10986.9,9855.5,9132.8,8562.8,9004.3,9824.6
"2_63",288.83762,947.6,10839.4,11661.5,10273.3,7357.2,8956.6,8335.4
"2_63",337.86218,947.6,214629.8,217468.8,202745.4,197588.3,189530.8,181658.9
"2_63",440.88604,947.6,32837.1,29685.9,19938.8,14540.1,21419.5,26429.2
"2_63",553.78218,947.6,18088.7,18142.3,22167.4,15191.3,15484.3,15144.1
"2_63",587.81397,947.6,17665.5,19301,21580.2,14156.4,17373.9,17659.6
"2_63",439.88527,948.2,46414,43191.5,46566.9,41873,43124.1,43171.2
"2_63",475.76512,948.8,30537.1,33625,30653.7,5635.9,8917,7462.5
"2_63",593.76114,948.8,15027.1,18274.4,20712.8,14065.5,11590.8,13605.6
"2_63",453.8503,949.4,51351.1,64735.5,63713,53867.4,42947.7,52074
"2_63",527.77136,949.4,24894,24067.6,25605.5,23192,24554.3,24002.3
"2_63",137.87264,950.6,4455.4,57105,52153.3,3551.9,3654.6,3748.2
"2_63",140.86846,950.6,15609.2,26128.7,23949.5,16090.3,14688.8,14445.7
"2_63",251.82265,950.6,15904.4,17638.2,16869,13311.8,13055.6,14949
"2_63",320.95017,950.6,46280.7,43272.1,40823.1,40045.2,40230.5,43328.3
"2_63",364.95624,951.2,39940.5,38476.5,41305,36138.6,39316.5,37309.1
"2_63",289.00954,951.8,42787.8,40487.7,36661.9,24174.5,28081.6,20807.5
"2_63",381.85811,953.1,13620.9,14162.3,13828.6,10167.8,11411.3,9621
"2_63",618.78392,953.7,12578.3,13611.8,12673.1,9569.9,11293.5,11435.2
"2_63",221.02479,954,345562.8,354297.4,341650.9,327246,325048.4,317040.9
"2_63",488.96204,954,15225.3,13676.1,15487.2,12695.1,14398.2,12328.9
"2_63",256.95492,954.3,147118.1,145988.8,116079.5,115763.9,125415,135865.8
