"","x"
"238.9969_26.1",173
"239.05983_349.2",2690
"239.06739_433.5",75
"239.09266_335.3",2901
"239.12876_365.6",2894
"239.15863_383.2",90
"239.16491_419.5",2892
"240.09565_335.3",2897
"240.90997_975.5",170
"240.91352_232.8",2896
"240.95203_954.3",72
"240.97827_255.2",2897
"241.02985_102.6",2901
"241.08669_343.8",2900
"241.14458_337.7",2901
"241.18094_446.1",2893
"241.91314_950",60
"241.91678_232.2",2889
"241.94645_953.7",122
"242.14816_337.7",2883
"242.9103_232.8",2897
"242.9437_949.4",2779
"242.94347_21.8",147
"243.03302_228.6",2899
"243.13511_157",2904
"243.16036_360.1",2898
"243.1715_111.7",2899
"243.17933_315.9",2906
"243.19617_466.1",2911
"243.95317_947.6",100
"244.04096_240.1",2895
"244.88875_39.1",583
"244.9081_291",2901
"245.04892_240.1",2900
"245.85651_953.7",42
"246.03811_74.6",2901
"246.05223_240.1",2900
"246.90528_291",2897
"246.96571_955.5",61
"247.16999_426.2",164
"247.90714_951.8",28
"247.90793_291",2841
"247.98264_956.1",71
"248.08023_957.3",142
"248.90272_291",2894
"249.11323_330.4",156
"249.1862_411.1",2894
"249.97846_955.5",133
"250.0933_26.9",2900
"250.11653_330.4",177
"250.98084_955.5",118
"251.03835_284.9",2898
"251.09554_305.6",2886
"251.1282_333.4",2880
"251.14816_463.2",2899
"251.2375_598.4",2899
"251.82265_950.6",127
"252.0875_377.7",173
"252.09907_305.6",2898
"252.13165_334.1",97
"252.91594_957.9",155
"252.99362_237.7",2899
"252.99681_38.2",149
"253.08285_417.7",2902
"253.09129_377.7",139
"253.1079_298.3",2898
"253.21727_555.3",2901
"253.95498_955.5",66
"253.99672_238.3",2897
"254.08641_417.7",2899
"254.22045_555.3",2899
"254.99415_102.6",2896
"255.08715_230.4",2901
"255.10276_368.6",2896
"255.11445_251",2904
"255.12473_317.7",2898
"255.13925_423.2",66
"255.16002_364.4",160
"255.23295_588.1",2898
"255.63112_346.8",2891
"256.09069_229.8",2899
"256.09743_418.9",74
"256.19174_431",2878
"256.23594_588.1",2897
"256.95492_954.3",34
"257.0793_283.7",2901
"257.21168_508.2",1969
"257.23886_588.1",2900
"257.78822_949.4",72
"257.85682_950",64
"257.91972_948.2",89
"258.91568_21.2",139
"259.01376_87.1",2901
"259.02752_251.6",163
"260.77203_950",109
"260.91576_945.8",92
"261.0222_278.3",2898
"261.12391_85.5",2899
"261.85106_953.7",78
"261.8892_237.7",2899
"261.91812_945.8",275
"262.76904_950",106
"262.78388_26.4",2884
"262.83919_463.6",2900
"262.85823_956.7",24
"262.97565_309.8",41
"263.03518_87.5",2878
"263.12907_300.7",2899
"263.77206_949.4",55
"263.88665_237.7",2896
"264.02987_954.3",2523
"264.76689_950",94
"264.83658_463.6",2899
"264.89063_295.2",2876
"264.9992_282.5",61
"265.0845_235.2",2902
"265.14775_415.3",2896
"266.10342_408",126
"266.15087_415.3",2901
"266.7651_950",1623
"266.83347_463.6",2899
"266.96724_956.7",48
"267.10717_408",31
"267.12392_391",2901
"267.14677_415.3",2892
"267.15744_491.9",2880
"267.23266_577.8",2895
"267.99686_28.1",2899
"268.12699_391",2899
"268.96482_948.8",57
"269.02554_33.8",2889
"269.07843_334.7",2899
"269.2121_588.1",2895
"269.24789_608.1",2883
"270.11344_437.1",42
"271.22763_532.3",2896
"271.22749_436.5",2900
"271.80368_949.4",36
"271.91847_237.7",2899
"271.98411_104.4",2893
"272.23103_532.3",2898
"272.95729_947.6",54
"272.99891_237.7",2893
"273.11082_418.3",2895
"273.9581_947.6",84
"274.85915_954.6",58
"274.98559_87.5",2739
"275.16809_434.7",2897
"275.90562_950",45
"276.16017_480.9",2906
"276.88136_948.2",79
"276.96004_950",45
"277.06881_229.2",165
"277.14421_430.4",75
"277.21715_548.1",2897
"277.90486_950.6",133
"278.14777_430.4",72
"278.22034_548.1",2900
"278.9022_969.4",32
"279.2329_571.7",2899
"280.16646_437.7",2899
"280.23602_571.7",2896
"280.89929_948.8",28
"280.94773_37.9",140
"280.9828_296.5",90
"281.00977_236.4",2789
"281.10361_283.7",2897
"281.16225_438.3",2898
"281.23953_571.7",2897
"281.24865_599",2899
"281.9466_237.7",2902
"281.95119_956.7",82
"282.01105_236.4",2771
"282.25189_599",2895
"282.99121_189.8",2898
